"","SC Estimate (95% CI)"
"09_1_11","0.86 (0.66, 1.14)"
"09_1_12","0.57 (0.45, 0.75)"
"09_1_13","1.15 (0.86, 1.91)"
"09_1_14","1.2 (0.9, 1.61)"
"09_1_15","0.7 (0.62, 0.79)"
"09_1_16","1.2 (0.99, 1.41)"
"09_1_17","0.72 (0.44, 0.9)"
"09_2_21","0.97 (0.7, 1.22)"
"09_2_22","0.78 (0.54, 0.96)"
"09_2_23","0.73 (0.65, 0.83)"
"09_2_24","0.56 (0.49, 0.63)"
"09_2_25","0.72 (0.55, 0.87)"
"09_2_26","0.69 (0.58, 0.83)"
"09_2_27","0.7 (0.59, 0.8)"
"09_2_28","0.63 (0.44, 0.9)"
"09_2_29","0.55 (0.5, 0.6)"
"09_3_31","0.61 (0.51, 0.71)"
"09_3_32","0.45 (0.39, 0.51)"
"09_3_33","0.75 (0.65, 0.83)"
"09_3_35","0.97 (0.86, 1.08)"
"09_4_41","0.73 (0.64, 0.96)"
"09_4_42","0.78 (0.61, 0.93)"
"09_4_43","0.85 (0.78, 0.93)"
"09_5_50","0.79 (0.69, 0.89)"
"09_5_51","0.74 (0.67, 0.82)"
"09_5_52","0.66 (0.55, 0.77)"
"09_5_53","0.44 (0.36, 0.56)"
"09_1_AA","0.86 (0.78, 1)"
"09_2_AA","0.6 (0.56, 0.66)"
"09_3_AA","0.77 (0.71, 0.91)"
"09_4_AA","0.78 (0.67, 0.92)"
"09_5_AA","0.71 (0.61, 0.82)"
"09_A_AA","0.77 (0.74, 0.82)"
