"","STL+PCA Estimate (95% CI)"
"09_1_11","0.87 (0.51, 1.41)"
"09_1_12","0.5 (0.41, 0.61)"
"09_1_13","1.03 (0.84, 1.26)"
"09_1_14","0.89 (0.69, 1.11)"
"09_1_15","0.76 (0.66, 0.87)"
"09_1_16","1.04 (0.85, 1.25)"
"09_1_17","0.51 (0.36, 0.69)"
"09_2_21","0.81 (0.67, 1)"
"09_2_22","0.75 (0.61, 0.9)"
"09_2_23","0.68 (0.56, 0.81)"
"09_2_24","0.6 (0.53, 0.68)"
"09_2_25","0.62 (0.51, 0.74)"
"09_2_26","0.29 (0.15, 0.63)"
"09_2_27","0.68 (0.5, 0.93)"
"09_2_28","1.08 (0.46, 2.47)"
"09_2_29","0.75 (0.69, 0.81)"
"09_3_31","0.75 (0.62, 0.9)"
"09_3_32","0.43 (0.3, 0.63)"
"09_3_33","0.62 (0.52, 0.73)"
"09_3_35","0.93 (0.76, 1.09)"
"09_4_41","1.07 (0.87, 1.32)"
"09_4_42","0.56 (0.38, 0.86)"
"09_4_43","0.95 (0.86, 1.04)"
"09_5_50","0.47 (0.37, 0.61)"
"09_5_51","0.85 (0.74, 0.97)"
"09_5_52","0.88 (0.67, 1.15)"
"09_5_53","0.86 (0.55, 1.27)"
"09_1_AA","0.91 (0.82, 1.03)"
"09_2_AA","0.74 (0.66, 0.83)"
"09_3_AA","0.82 (0.72, 0.95)"
"09_4_AA","0.99 (0.9, 1.09)"
"09_5_AA","0.9 (0.75, 1.07)"
"09_A_AA","0.84 (0.77, 0.91)"
