"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"92_1",1.19,1.56,2.06,"0.677279305354559","0.831261101243339","1.01298701298701","K00_99","0.95","0.71","0.87","1.06","N00_99","0.93","0.64","0.8","0.99","A10_B99_nopneumo","0.93","0.65","0.81","1"
"92_2",1,1.27,1.63,"0.294529776340609","0.40936329588015","0.564281938127461","P00_99","0.99","0.34","0.48","0.71","cJ20_J22","0.98","0.37","0.53","0.76","N00_99","0.98","0.49","0.65","0.83"
"92_3",0.99,1.38,1.91,"0.638403990024938","0.81658692185008","1.04070339277731","cJ20_J22","0.86","0.62","0.81","1.04","N00_99","0.38","0.6","0.76","0.95","Q00_99","0.31","0.6","0.76","0.95"
"92_4",0.78,0.95,1.16,"0.728813559322034","0.843137254901961","0.962399283795882","cJ20_J22","0.08","0.73","0.85","0.96","Q00_99","0.06","0.73","0.84","0.96","A10_B99_nopneumo","0.06","0.74","0.85","0.96"
"92_5",0.66,0.82,1.02,"0.526748838093442","0.615224389320205","0.711411821566301","cJ20_J22","1","0.57","0.67","0.8","ach_noj","0.51","0.56","0.67","0.79","N39","0.5","0.56","0.66","0.77"
"92_6",0.72,0.88,1.08,"0.589116235710982","0.715944618133095","0.859056806002144","cJ20_J22","1","0.61","0.72","0.84","ach_noj","0.87","0.55","0.65","0.76","N39","0.48","0.55","0.64","0.75"
"92_7",0.63,0.79,0.99,"0.469524699032","0.592058917707333","0.713899613899614","cJ20_J22","1","0.49","0.59","0.7","E00_99","0.99","0.49","0.62","0.78","Z00_99","0.81","0.5","0.61","0.74"
"92_8",0.67,0.81,1,"0.575604195122902","0.639212175470009","0.709441836550866","cJ20_J22","1","0.51","0.59","0.71","Z00_99","0.15","0.51","0.59","0.72","ach_noj","0.06","0.51","0.59","0.73"
"92_9",0.65,0.81,1.02,"0.412268188302425","0.53021443192265","0.715125270646458","cJ20_J22","1","0.26","0.34","0.45","ach_noj","0.75","0.26","0.34","0.42","P05_07","0.58","0.27","0.34","0.5"
"92_10",0.7,0.83,0.98,"0.480956055721689","0.539894782989917","0.603680170493056","K00_99","0.99","0.5","0.57","0.64","cJ20_J22","0.95","0.49","0.56","0.64","A10_B99_nopneumo","0.27","0.48","0.55","0.62"
"92_11",0.42,0.59,0.83,"0.42745438748914","0.522292993630573","0.631578947368421","cJ20_J22","0.98","0.41","0.5","0.61","ach_noj","0.56","0.43","0.52","0.63","pandemic","0.21","0.42","0.52","0.63"
"92_12",1.02,1.51,2.31,"0.276288659793814","0.369146005509642","0.478571428571429","ach_noj","0.35","0.28","0.37","0.48","Z00_99","0.34","0.27","0.35","0.45","P00_99","0.26","0.31","0.38","0.47"
"92_13",0.95,1.19,1.46,"0.466855006726384","0.545077617907648","0.637586605080831","P00_99","1","0.57","0.67","0.76","cJ20_J22","1","0.79","0.94","1.1","Z00_99","0.1","0.78","0.93","1.09"
"92_14",0.65,0.82,1.02,"0.634460065098681","0.763303533418476","0.908308004052685","cJ20_J22","1","0.78","0.94","1.11","Z00_99","0.98","0.73","0.86","1.03","K00_99","0.37","0.73","0.87","1.04"
"92_15",0.71,1.04,1.52,"0.544444444444444","0.696682464454976","0.890909090909091","pandemic","0.89","0.55","0.7","0.9","P00_99","0.66","0.57","0.72","0.93","ach_noj","0.51","0.54","0.69","0.88"
