"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI"
"9_1",0.359139000076552,0.489614243323442,0.655695826549407
"9_10",0.3469868173258,0.466898954703833,0.606104240360447
"9_11",0.196530931435571,0.268549545236955,0.360774605206955
"9_12",1.14257171751139,1.65963060686016,2.36922662829123
"9_13",0.80555898959965,1.10332103321033,1.5152027027027
"9_14",0.498918487232353,0.71312394840157,0.95998489996225
"9_15",0.36866850723091,0.531082118188795,0.744886975242196
"9_18",0.14567983185687,0.234944868532655,0.385048446723684
"9_19",0.284919662971892,0.504201680672269,0.813993000677353
"9_2",0.253138035806302,0.420027816411683,0.700736793827227
"9_21",0.287932518846812,0.424305555555556,0.618421052631579
"9_22",0.362110691765381,0.607476635514019,0.988593155893536
"9_23",0.0145346217793244,0.0824893760275512,0.274254613421856
"9_24",0.00467990684673374,0.050205460028586,0.198913569764943
"9_3",0.245284735744117,0.413680781758958,0.665814766273482
"9_4",0.521108179419525,0.817805383022774,1.28246753246753
"9_5",0.589279140371008,0.832807570977918,1.15485564304462
"9_6",0.390001804228733,0.526365795724466,0.705962935507181
"9_7",0.818368073469598,1.23098278734037,1.81572481572482
"9_8",0.520314600348965,0.703050847457627,0.95314692099816
"9_9",0.882476528301568,1.1693541295478,1.52062094531974
