"","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"ac_pneumonia_Age1","0.774137680960141","0.931089743589744","1.14595660749507","ach_noj","0.09","0.77","0.93","1.1","L00_L99","0.08","0.77","0.93","1.1","Q00_Q99","0.07","0.77","0.92","1.1"
"ac_pneumonia_Age1_0","0.773035887487876","0.951073985680191","1.16350364963504","R00_R99","0.14","0.76","0.95","1.16","A00_B99_norota","0.08","0.76","0.95","1.17","ach_noj","0.08","0.78","0.95","1.16"
"ac_pneumonia_Age1_1","0.754132231404959","0.933503836317136","1.23728813559322","ach_noj","0.49","0.73","0.87","1.03","R00_R99","0.12","0.73","0.87","1.03","L00_L99","0.1","0.73","0.87","1.03"
"ac_pneumonia_Age2","0.522935779816514","0.647727272727273","0.799065420560748","L00_L99","0.22","0.52","0.65","0.8","ach_noj","0.09","0.53","0.65","0.79","R00_R99","0.07","0.54","0.65","0.78"
"ac_pneumonia_Age3","0.425860599863667","0.547619047619048","0.69","L00_L99","0.22","0.42","0.54","0.69","R00_R99","0.16","0.43","0.54","0.68","K00_K95","0.12","0.41","0.55","0.7"
"ac_pneumonia_Age4","0.453038674033149","0.645669291338583","0.921348314606742","M00_M99","0.66","0.57","0.75","0.99","N00_N99","0.55","0.56","0.73","0.94","pandemic","0.44","0.55","0.73","0.96"
"ac_pneumonia_Age5","0.777573529411765","0.972413793103448","1.18156424581006","H00_H99","0.1","0.83","0.98","1.19","A00_B99_norota","0.09","0.83","0.98","1.19","N00_N99","0.08","0.83","0.98","1.18"
"ac_pneumonia_Age6","0.97037037037037","1.23004694835681","1.99239543726236","H00_H99","0.87","1.27","1.65","2.37","ach_noj","0.21","1.24","1.52","1.85","E00_E89","0.11","1.27","1.54","1.86"
"HP_all_raw_Age1","0.577639751552795","0.738095238095238","0.948979591836735","L00_L99","0.72","0.57","0.72","0.94","R00_R99","0.12","0.58","0.72","0.94","ach_noj","0.12","0.57","0.71","0.89"
"RP_all_raw_Age1","0.383259911894273","0.73109243697479","1.16","ach_noj","0.46","0.57","0.82","1.18","A00_B99_norota","0.25","0.57","0.83","1.21","Q00_Q99","0.16","0.58","0.84","1.21"
"VS_SP_all_raw_Age1","0.523746701846966","0.68566493955095","0.900226757369615","ach_noj","0.1","0.52","0.68","0.87","A00_B99_norota","0.08","0.53","0.69","0.87","Q00_Q99","0.08","0.53","0.68","0.87"
