"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_1","0.83 (0.56, 1.16)","cJ20_J22","0.99","0.68 (0.44, 1.06)","P05_07","0.38","0.67 (0.44, 1.03)","ach_noj","0.29","0.69 (0.45, 1.08)"
"9_10","0.83 (0.62, 1.12)","cJ20_J22","1","0.88 (0.66, 1.2)","ach_noj","0.92","0.86 (0.62, 1.12)","P00_99","0.9","0.89 (0.71, 1.15)"
"9_11","1.01 (0.85, 1.26)","cJ20_J22","1","1.17 (0.9, 1.39)","P00_99","0.23","1.17 (0.92, 1.39)","ach_noj","0.22","1.19 (0.96, 1.41)"
"9_12","0.73 (0.62, 0.94)","cJ20_J22","1","0.81 (0.61, 1.06)","P05_07","0.18","0.81 (0.6, 1.04)","P00_99","0.11","0.8 (0.59, 0.99)"
"9_13","0.8 (0.52, 1.19)","P05_07","0.84","0.89 (0.59, 1.34)","ach_noj","0.76","0.88 (0.58, 1.37)","P00_99","0.62","1.15 (0.82, 1.52)"
"9_14","1.17 (0.97, 1.42)","cJ20_J22","1","1.02 (0.8, 1.28)","ach_noj","0.78","0.95 (0.75, 1.19)","E00_99","0.46","0.93 (0.74, 1.17)"
"9_15","0.87 (0.73, 1.04)","cJ20_J22","1","0.86 (0.69, 1.07)","E00_99","0.94","0.88 (0.68, 1.19)","P05_07","0.54","0.87 (0.68, 1.17)"
"9_16","0.9 (0.74, 1.12)","cJ20_J22","1","0.78 (0.58, 1.09)","P05_07","0.52","0.79 (0.59, 1.07)","P00_99","0.24","0.79 (0.59, 1.11)"
"9_17","0.73 (0.59, 0.92)","cJ20_J22","1","0.72 (0.53, 1.02)","ach_noj","0.29","0.72 (0.54, 0.93)","P05_07","0.19","0.71 (0.54, 0.91)"
"9_19","0.68 (0.57, 0.84)","cJ20_J22","1","0.81 (0.67, 1.07)","P05_07","0.33","0.79 (0.66, 0.95)","P00_99","0.14","0.79 (0.66, 0.95)"
"9_2","0.96 (0.75, 1.22)","Q00_99","0.82","1.03 (0.82, 1.26)","ach_noj","0.38","1.04 (0.83, 1.27)","P00_99","0.33","1.03 (0.84, 1.25)"
"9_20","1.01 (0.87, 1.19)","cJ20_J22","1","1.02 (0.7, 1.48)","P00_99","0.12","1.1 (0.75, 1.54)","ach_noj","0.11","1.28 (0.87, 1.61)"
"9_21","0.85 (0.73, 0.98)","cJ20_J22","1","0.8 (0.64, 0.98)","ach_noj","0.15","0.78 (0.63, 0.97)","P00_99","0.14","0.87 (0.69, 1.07)"
"9_22","0.8 (0.61, 1.12)","P00_99","0.52","0.77 (0.6, 0.96)","ach_noj","0.49","0.77 (0.63, 0.95)","P05_07","0.2","0.77 (0.62, 0.95)"
"9_24","0.71 (0.54, 0.89)","cJ20_J22","1","0.69 (0.51, 0.95)","P00_99","0.46","0.78 (0.61, 1.02)","P05_07","0.39","0.75 (0.58, 1.01)"
"9_25","0.85 (0.66, 1.1)","cJ20_J22","1","1.01 (0.77, 1.29)","ach_noj","0.43","1.01 (0.78, 1.3)","Q00_99","0.38","1 (0.78, 1.29)"
"9_26","0.73 (0.46, 0.88)","cJ20_J22","1","0.78 (0.57, 1.03)","P00_99","0.26","0.78 (0.59, 0.99)","ach_noj","0.13","0.79 (0.64, 0.98)"
"9_27","1.25 (1.08, 1.44)","cJ20_J22","1","1.06 (0.84, 1.28)","P05_07","0.64","1.07 (0.85, 1.28)","P00_99","0.13","1.09 (0.91, 1.31)"
"9_28","0.88 (0.65, 1.16)","cJ20_J22","1","0.75 (0.6, 1.07)","P00_99","0.7","0.74 (0.6, 0.93)","P05_07","0.17","0.71 (0.59, 0.87)"
"9_29","0.81 (0.53, 1.19)","cJ20_J22","1","0.73 (0.51, 1.09)","ach_noj","0.84","0.73 (0.52, 1.08)","P00_99","0.3","0.72 (0.52, 0.95)"
"9_30","0.87 (0.76, 1)","cJ20_J22","1","0.94 (0.75, 1.14)","K00_99","0.13","0.94 (0.75, 1.14)","P00_99","0.07","0.95 (0.77, 1.15)"
"9_31","1.13 (0.64, 1.51)","ach_noj","0.28","1.17 (0.84, 1.53)","P00_99","0.24","1.18 (0.9, 1.53)","Z00_99","0.19","1.16 (0.86, 1.47)"
"9_32","0.88 (0.69, 1.1)","cJ20_J22","1","0.95 (0.68, 1.26)","Q00_99","0.19","0.95 (0.7, 1.27)","ach_noj","0.16","0.97 (0.71, 1.28)"
"9_4","0.92 (0.75, 1.12)","cJ20_J22","1","0.94 (0.72, 1.21)","P00_99","0.29","0.94 (0.72, 1.2)","ach_noj","0.24","0.96 (0.74, 1.22)"
"9_5","0.81 (0.49, 1.25)","cJ20_J22","1","0.7 (0.41, 1.22)","ach_noj","0.71","0.67 (0.39, 1.36)","P00_99","0.54","1.23 (0.89, 1.62)"
"9_7","0.97 (0.83, 1.14)","cJ20_J22","1","1.02 (0.82, 1.27)","P00_99","0.3","1.05 (0.86, 1.34)","ach_noj","0.16","1.2 (0.92, 1.57)"
"9_8","1.18 (0.99, 1.4)","cJ20_J22","1","1.18 (0.93, 1.48)","Q00_99","0.35","1.17 (0.92, 1.47)","K00_99","0.26","1.11 (0.86, 1.42)"
"9_9","1.08 (0.95, 1.21)","cJ20_J22","1","1.18 (0.99, 1.39)","A10_B99_nopneumo","0.87","1.2 (1, 1.41)","Z00_99","0.81","1.14 (0.95, 1.38)"
